#Benchmark for finding n'th element, 100000 times, in a list or tuple, all times in ms.
#
#      n    dummy recursiv explicit  element    tuple
       1     7.47     7.74     8.06     8.16     8.19
       2     7.47    10.06     9.75     8.93     8.07
       3     7.65    12.51     9.98     8.53     8.55
       4     7.58    15.76    10.94     8.61     8.30
       5     7.78    18.06    11.57     8.68     8.66
       6     7.67    22.81    12.16     8.76     8.62
       7     7.54    24.59    12.83     8.95     8.75
       8     7.55    26.85    13.24     8.68     8.39
       9     7.76    29.09    13.83     8.75     8.48
      10     7.67    31.36    15.58     8.88     8.76

